ID,Partei,Titel,Vorname,Nachname,Wahlkreis_ID,Wahlkreis_Name,Jahrgang,Geburtsort,Geburtsort_Location,Beruf,Geschlecht
84,BüSo,,Andreas,Weber,76,Pankow ohne Prenzlauer Berg Ost,1980,Rüsselsheim,"49.994805, 8.410485",Angestellter,m
85,AfD,,Markus,Egg,76,Pankow ohne Prenzlauer Berg Ost,1963,Erlangen,"49.59795, 11.00258",Professor,m
86,FREIE WÄHLER,,Sebastian,Schmidt,76,Pankow ohne Prenzlauer Berg Ost,1987,Berlin,"52.516074, 13.376987","Bürokaufmann, Student",m
87,Die PARTEI,,Stefan,Valentin,76,Pankow ohne Prenzlauer Berg Ost,1965,München,"48.136415, 11.577531","Politologe, Arbeiter, Lehrkraft",m
88,NPD,,André,Markau,77,Reinickendorf,1964,Berlin,"52.516074, 13.376987",Kaufmann,m
89,AfD,Dr.,Ralf-Günther,Conradi,77,Reinickendorf,1956,"Westerland, Sylt","54.907532, 8.30893",Verbandsjurist,m
90,FREIE WÄHLER,,Detlef,Dorn,77,Reinickendorf,1954,Berlin,"52.516074, 13.376987",Angestellter im Vollzugsdienst,m
91,Die PARTEI,,Feline,Kuck,77,Reinickendorf,1988,Berlin,"52.516074, 13.376987",Angestellte,w
92,"Familie, Jugend und Zukunft",,Frank,Ditsche,77,Reinickendorf,1966,Berlin,"52.516074, 13.376987",Gelernter Kaufmann,m
93,NPD,,Jürgen,Bolte,78,Spandau und Charlottenburg-Nord,1950,Berlin,"52.516074, 13.376987",Fraktionsassistent,m
94,BüSo,,Stefan,Tischer,78,Spandau und Charlottenburg-Nord,1981,"Jarega, Russland","65.15, 57.2166667",Freiberufler,m
95,AfD,,Sascha,Paulick,78,Spandau und Charlottenburg-Nord,1971,Berlin,"52.516074, 13.376987",Produktmanager Promotion,m
96,BIG,,Mustafa,Can,78,Spandau und Charlottenburg-Nord,1986,"Karasu, Türkei","41.094285, 30.69047",Student,m
97,FREIE WÄHLER,,Güney,Imre,78,Spandau und Charlottenburg-Nord,1990,Berlin,"52.516074, 13.376987",Verkäufer,m
98,NPD,,Josef,Graf,79,Steglitz-Zehlendorf,1960,"Rieden, Oberpfalz","47.483299, 9.7333",Bankkaufmann,m
99,BüSo,,Helga,Zepp-LaRouche,79,Steglitz-Zehlendorf,1948,Trier,"49.757226, 6.636489",Journalistin,w
100,AfD,Dr.,Hans-Joachim,Berg,79,Steglitz-Zehlendorf,1948,Auetal,"52.2322, 9.23514",Jurist,m
101,FREIE WÄHLER,,Burak,Macit,79,Steglitz-Zehlendorf,1990,Berlin,"52.516074, 13.376987",Einzelhandelskaufmann,m
102,Die PARTEI,,Martin,Schippan,79,Steglitz-Zehlendorf,1987,Berlin,"52.516074, 13.376987",Germanist,m
103,NPD,,Jens,Pühse,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1972,Wilhelmshaven,"53.51958, 8.111685",Geschäftsführer,m
104,BüSo,,Anna-Maria,Hildebrand,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1985,Nordhausen,"51.502175, 10.794781",Studentin,w
105,AfD,Dr.,Hugh,Bronson,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1961,Apen,"53.218585, 7.80667",Dozent,m
106,BIG,,Emre,Tani,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1988,Berlin,"52.516074, 13.376987",Taxifahrer,m
107,FREIE WÄHLER,,Christian G,Christiansen,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1941,Flensburg,"54.78643, 9.435435","Verlagskaufmann, Redakteur",m
108,Die PARTEI,,Carl,Willke,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1988,Berlin,"52.516074, 13.376987",Student,m
109,Bündnis 21/RRP,,Wolfgang,Bolz,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1941,"Kwidzyn, Polen","53.734525, 18.936565",Kaufmann,m
110,Jung & Alt,,Walter,Fricke,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1955,Bad Tölz,"47.760471, 11.55746",Journalist,m
111,NPD,,Thomas,Hübener,81,Tempelhof-Schöneberg,1974,Berlin,"52.516074, 13.376987",Kaufmann,m
112,BüSo,Dr.,Wolfgang,Lillge,81,Tempelhof-Schöneberg,1950,Berlin,"52.516074, 13.376987",Arzt,m
113,AfD,,Franz,Niggemann,81,Tempelhof-Schöneberg,1963,Werl,"51.55687, 7.912345",Selbständig,m
